,User,Date Created,Number of Likes,Source of Tweet,Tweet
40,wildlabssafaris,2022-12-21 13:17:45+00:00,1,Twitter for Android,"Now that the #GOAT𓃵 / #goatdebate has been resolved, the wild is now calling #VisitUganda  with Wildlabs Safaris making it happen. Tap on https://t.co/UZlc5YstXc for more info on getting on board https://t.co/e9Ja9CYBjv"
41,SarpsEffect,2022-12-21 12:47:04+00:00,0,Twitter for iPhone,"@Cristiano in titles all be 5'5 chensee 

#Ronaldo #Davido #goatdebate #Messi𓃵 #GreatestOfAllTime https://t.co/0sSboscZq7"
42,worldyourpalm99,2022-12-21 07:00:39+00:00,0,Twitter for Android,"More than settling the #GOATdebate with #CristianoRonaldo, which was media muppetry clearly, it was Messi earning back the love he always was entitled to but felt bereft of after 2014, from grudging home fans. Even the vanquished French  #Messi𓃵 #Mbappe
https://t.co/yDoeRg8Ypv"
43,ViniDinho19,2022-12-20 22:41:52+00:00,32,Twitter for iPhone,"This pretty much sums up their careers as ronaldo have everyone hates him, “(maybe they don’t like me because I’m to good)” while Messi get protected. 
For me Ronaldo is the GOAT, thanks for reading! Rt appreciated! #GOAT𓃵 #goat #goatdebate #ronaldo #Ronaldo𓃵 #messi #Messi𓃵"
44,KingFitch_H19,2022-12-20 21:58:41+00:00,0,Twitter for Android,#AshKetchum #LionelMessi #LionelMessi𓃵 #Pokemon #GOAT #goatdebate #Legends #Champions https://t.co/FaCHHaMWOi
45,Cherno_Samba10,2022-12-20 20:08:30+00:00,0,Twitter for iPhone,"Messi and Ronaldo are both the best of their generation. Ronaldo the better goal scorer and Messi the better all round footballer, Pele/Maradona etc are different generations and different skills. Shouldn’t be so deep #GOAT𓃵 #Messi #CristianoRonaldo #Pele #Maradona #goatdebate"
46,azharr_rrr,2022-12-20 17:55:04+00:00,1,Twitter for iPhone,"They say he’s goat, who are they?
#goat #goatdebate #500m"
47,jairon_cora,2022-12-20 17:21:42+00:00,47,Twitter for iPhone,"De crack a crack 
#goatdebate 

@mundodeportivo https://t.co/vhZiW3NVBZ"
48,YoungInfinix10,2022-12-20 16:47:12+00:00,0,Twitter for iPhone,"ONE MORE RECORD! 
#Messi𓃵 instagram post becomes THE MOST liked EVER!

Even after his wc win, #Messi keeps on crushing records 🤯🐐

#GOAT𓃵 #goatdebate"
49,_AnonymousEyes,2022-12-20 16:31:00+00:00,0,Twitter Web App,"THIS. RATIONALITY.

#FIFAWorldCup #goatdebate @Cristiano"
50,jairon_cora,2022-12-20 13:57:47+00:00,18,Twitter for iPhone,"No estoy de acuerdo con que para engrandecer a un jugador haya que atacar a otro. 

Messi y Cristiano ambos tienen su legado entre los grandes. Y estoy convencido de que no hubiésemos visto lo mejor de uno, sin el otro. 

Disfrutemos del fútbol, que es uno solo. 

#goatdebate"
51,TerTereix50,2022-12-20 13:50:33+00:00,0,Twitter for Android,#bo3 #blackops3 #PS4share #PS4 #GOAT #goatdebate #goated #MorningLive
52,Cityblues1,2022-12-20 13:46:12+00:00,0,Twitter for Android,"Alright then, #FIFAWorldCup done, #Messi𓃵 won it and cemented his claim as the #GOAT𓃵 in the #goatdebate let's get back to watching our respective clubs then shall we. #Excited"
53,AtuboluO,2022-12-20 10:17:30+00:00,1,Twitter for iPhone,Most liked post on Instagram. The undisputed goat🐐💙. La pulga #GOAT𓃵 #mostliked #benzkhaokhwan #Messi #goatdebate https://t.co/AidMlbHB5i
54,ideaderek,2022-12-20 09:47:49+00:00,4,Twitter for Android,"And that was how #Messi became the #GOAT𓃵 I guess the argument has been put to rest now, do does anyone still have their reservation?

Speak now or forever remain silent!!!
#ASSU #Messi𓃵 Messi and Ronaldo #enzofernandez #carmen #GOAT𓃵 #goatdebate"
55,artnurin2,2022-12-20 09:19:40+00:00,5,Twitter for Android,"i think all this comparison robs the world of the energy to appreciate the beauty these two footballing legends have brought to this game.

these two have had EXCELLENT football careers.
respect to you G.O.A.Ts

#Messi #CristianoRonaldo #goatdebate #GOAT𓃵
#endanglophonecrisis https://t.co/W2CmYf1U09"
